method,snapshot_year,horizon,age_bucket,n,rmse,mae,bias,std
carmelo-squared,2015,3,28-31,39,6.69663088169396,5.487413500296365,-2.978556310851091,5.997755202469201
538-linear,2015,3,28-31,39,6.72034369315175,5.597954696342748,-3.3714977586357295,5.813434631747291
538-squared,2015,3,28-31,39,6.690844231353946,5.590995104788894,-3.3246234344946664,5.806399533880808
SPS,2015,3,32-35,11,3.841508522980048,3.2874669471014273,3.1247490687954564,2.23453149210081
carmelo-linear,2015,3,32-35,11,2.2374504222066713,1.901343342059173,0.702034743515665,2.124460310462332
carmelo-squared,2015,3,32-35,11,2.236401765399411,1.9179381897994896,0.6691688217341817,2.1339414107000425
538-linear,2015,3,32-35,11,2.2180968730884816,1.9599436589548844,0.5401240519429588,2.1513297624765992
538-squared,2015,3,32-35,11,2.269382719336402,2.0115536538471024,0.5449407825141714,2.2029837653454294
SPS,2015,3,<=23,60,7.624232517626814,6.233783303888169,-2.1492668319135553,7.315023825530194
carmelo-linear,2015,3,<=23,60,7.517223423081058,6.1297018175725855,-1.7258345766363636,7.31642966252016
carmelo-squared,2015,3,<=23,60,7.516616224366851,6.131175635466466,-1.7162029085771122,7.318071265094815
538-linear,2015,3,<=23,60,7.39776951915989,6.019119663292423,-1.8589727812746526,7.160392032360457
538-squared,2015,3,<=23,60,7.371365485388645,5.9838714998318885,-1.8759605668227337,7.128660538341344
SPS,2015,4,24-27,62,6.4444351854243465,5.1718041712224725,-0.7261819883011134,6.403390084869292
carmelo-linear,2015,4,24-27,62,6.696846452683527,5.420682803153841,-2.648010684248569,6.151080541411027
carmelo-squared,2015,4,24-27,62,6.706703153678238,5.430250634048191,-2.636326499171978,6.166818448869826
538-linear,2015,4,24-27,62,6.98712085806374,5.658161750179058,-3.0420076006747028,6.290154818653251
538-squared,2015,4,24-27,62,7.0158883464106445,5.676861864669139,-3.0272711347834713,6.329164144324862
SPS,2015,4,28-31,29,5.18864294533531,4.0543188804876715,-0.730021461415362,5.137030687084793
carmelo-linear,2015,4,28-31,29,6.576816645103352,5.063685793963215,-3.8710546359481413,5.316902593504316
carmelo-squared,2015,4,28-31,29,6.589446432226803,5.078046026294516,-3.879476499915929,5.326393373548991
538-linear,2015,4,28-31,29,6.595028287706065,5.372218503531977,-4.465229387520176,4.853465219043956
538-squared,2015,4,28-31,29,6.517995060208768,5.343887742993416,-4.44255444697926,4.769483157589582
SPS,2015,4,32-35,5,4.372970429566062,3.6155060937968306,1.8478912492737272,3.963353164773078
