method,snapshot_year,horizon,age_bucket,n,rmse,mae,bias,std
538-linear,1985,3,28-31,36,5.418900290293077,4.336738769288518,-0.9549612880620835,5.334091234169247
538-squared,1985,3,28-31,36,5.783124203002039,4.5579202208861505,-0.9068737692277797,5.711576447359747
SPS,1985,3,<=23,34,8.823499966170887,6.955687895382439,-2.2816329785741973,8.523397362794974
carmelo-linear,1985,3,<=23,34,8.70205965125298,6.926467379849062,-3.1077356978204715,8.128211427273374
carmelo-squared,1985,3,<=23,34,8.682545478251205,6.900416497133783,-3.088154025912071,8.114795172654915
538-linear,1985,3,<=23,34,8.736429716086217,6.93279626511903,-3.1447006126440344,8.15083199685471
538-squared,1985,3,<=23,34,8.799324132776157,7.0557545895196725,-3.0549240227990144,8.252002448411075
SPS,1985,4,24-27,57,7.476403904548749,5.787062019324382,0.5960581317461622,7.45260558781498
carmelo-linear,1985,4,24-27,57,8.217328679002643,6.446696866466775,-2.2883778808483783,7.8922631287358405
carmelo-squared,1985,4,24-27,57,8.190494955287468,6.411725384382151,-2.261672891267228,7.8720418790486875
538-linear,1985,4,24-27,57,7.771992998973045,5.801961571976819,0.17451479309200374,7.7700334467155345
538-squared,1985,4,24-27,57,7.905586517595048,5.919548041083417,0.2697469439895766,7.900983152329138
SPS,1985,4,28-31,27,6.683068147670835,5.620625856134789,3.1373060812929086,5.900907592794097
carmelo-linear,1985,4,28-31,27,6.842520595539029,5.76292978811975,-0.13604310367007574,6.841168056283928
carmelo-squared,1985,4,28-31,27,6.874491948443487,5.771236878626401,-0.1317642564065716,6.873229061361767
538-linear,1985,4,28-31,27,7.136708192614252,5.821132363450057,-2.5624511993681467,6.660814340407946
538-squared,1985,4,28-31,27,7.680338739572803,6.22946926172362,-3.0335683982042543,7.055853309699632
SPS,1985,4,<=23,38,7.827172902279221,6.022370312902083,-1.7023056915841175,7.639816161045661
carmelo-linear,1985,4,<=23,38,7.879982300682753,6.198030976916581,-2.500836999687719,7.472612351786114
carmelo-squared,1985,4,<=23,38,7.848310260379521,6.1620111352650575,-2.4806877966127807,7.445949368543603
538-linear,1985,4,<=23,38,7.667030162508035,5.853244492788302,-2.2723161282147673,7.32256313911072
538-squared,1985,4,<=23,38,7.622559407431885,5.793133106305595,-2.1664558818299433,7.30820640320953
SPS,1985,5,24-27,58,9.03020930665074,7.57035771306657,3.3278332987932835,8.394653397095334
carmelo-linear,1985,5,24-27,58,9.12445241890382,7.669745334221999,0.5358279941580403,9.10870574261329
carmelo-squared,1985,5,24-27,58,9.127521100297468,7.678053502607912,0.5481934198263088,9.111044144928432
538-linear,1985,5,24-27,58,9.13040370102188,7.239826357929555,2.67850411804537,8.728681884067493
538-squared,1985,5,24-27,58,9.327518142025179,7.277145612648515,2.513334091472957,8.982524502301603
SPS,1985,5,28-31,23,5.70227026206231,4.4192671212101775,2.5446782644127306,5.1029891898989534
carmelo-linear,1985,5,28-31,23,6.491687811205882,5.034589977240969,-1.0219082325491189,6.410749893920941
carmelo-squared,1985,5,28-31,23,6.486114361623511,5.0578224591354815,-1.0091455523298551,6.407129214107644
538-linear,1985,5,28-31,23,5.23573827547271,4.325743385469047,-2.4860008079991713,4.607901395633093
538-squared,1985,5,28-31,23,5.3452774950275055,4.343845641760297,-2.4607761517062854,4.745163035138111
SPS,1985,5,<=23,38,8.310945851378618,6.576773749443915,-2.458066160727165,7.9391266329512264
carmelo-linear,1985,5,<=23,38,8.289535177587517,6.432947517171388,-3.5540388665429785,7.489005354221801
carmelo-squared,1985,5,<=23,38,8.252201501278915,6.425003917071926,-3.5099390470638845,7.46854453716427
538-linear,1985,5,<=23,38,8.313468472551582,6.58310888080521,-3.7466815967518072,7.4213297364199144
538-squared,1985,5,<=23,38,8.30392013734334,6.656958112475559,-3.7321010057513067,7.417985692237909
SPS,1986,1,24-27,89,5.390162317966308,4.035187817249754,0.2957190095967266,5.382044228858311
carmelo-linear,1986,1,24-27,89,5.568027184237605,4.2018084117456675,-0.7896141104897492,5.511754374146624
carmelo-squared,1986,1,24-27,89,5.570967880043379,4.203603490486623,-0.7860259330663087,5.515237651545241
538-linear,1986,1,24-27,89,5.5167652994285,4.116114802749454,-0.20444913665379796,5.512975595764954
538-squared,1986,1,24-27,89,5.4556442116994175,4.093733055011322,-0.11892208499837614,5.45434792641146
SPS,1986,1,28-31,51,4.9739401019618255,4.009498752349284,1.1073059130965162,4.8491188635385605
carmelo-linear,1986,1,28-31,51,5.094524619245396,4.223538257817774,-0.9364391524232343,5.007720320655527
carmelo-squared,1986,1,28-31,51,5.095635282131429,4.217992438096516,-0.9530049522269103,5.005724771652316
538-linear,1986,1,28-31,51,4.852276445316616,3.9245017154375503,-1.2044232610168966,4.700420333342103
538-squared,1986,1,28-31,51,4.928545561114865,3.980228071446681,-1.27928523496005,4.759620849983562
SPS,1986,1,32-35,10,8.4850233936278,6.508245436277852,4.052393234946311,7.454779075182068
carmelo-linear,1986,1,32-35,10,7.6135479987346635,6.346368650095119,1.0940894843274285,7.534525952528184
carmelo-squared,1986,1,32-35,10,7.611662984896705,6.347273924453829,1.1519450326510898,7.523990698917502
538-linear,1986,1,32-35,10,6.985883739811952,5.7107423131826,0.1830920201401854,6.9834840114609
538-squared,1986,1,32-35,10,6.927443183078956,5.675108796669843,0.11766916933600254,6.926443749961078
SPS,1986,1,<=23,51,5.970583046085599,4.8202786393929795,-2.3710320861690835,5.479604799304552
carmelo-linear,1986,1,<=23,51,5.81826501037703,4.675289546825186,-2.11409084558131,5.4205929221448566
carmelo-squared,1986,1,<=23,51,5.820709566453251,4.68555584925269,-2.115086438363138,5.422828525341063
538-linear,1986,1,<=23,51,5.881916204132299,4.756553441180499,-1.9959543997273368,5.5329110119938845
538-squared,1986,1,<=23,51,5.874042052780941,4.728486525224323,-1.9178874354675723,5.552123721848654
SPS,1986,2,24-27,70,6.900169118518365,5.085872140797622,0.7392614544875465,6.860453801758561
carmelo-linear,1986,2,24-27,70,7.205062035284662,5.221207264284465,-1.8283125963679099,6.96923180718383
carmelo-squared,1986,2,24-27,70,7.211895595813029,5.235002060575876,-1.8176089656690164,6.979092758577362
538-linear,1986,2,24-27,70,7.272771921964736,5.44551513071865,0.023638772346533138,7.272733505179507
538-squared,1986,2,24-27,70,7.390639336693533,5.525672162350096,0.025592612234836613,7.390595024981467
SPS,1986,2,28-31,47,5.804522483852327,4.5552436440335065,3.188391177172842,4.850427091182133
carmelo-linear,1986,2,28-31,47,4.942060141893725,4.073994177660979,-0.277759896725618,4.934248462113111
carmelo-squared,1986,2,28-31,47,4.95543021576414,4.100423989323329,-0.25066565658872375,4.949086314858045
538-linear,1986,2,28-31,47,4.7750733537097085,3.9093670912175247,-0.014779498942765769,4.775050481379174
538-squared,1986,2,28-31,47,4.877265293261426,3.940228476580853,0.09616124376211975,4.876317232917746
SPS,1986,2,32-35,6,7.625581820673139,5.4142138783896785,3.770803507987902,6.62801169340601
carmelo-linear,1986,2,32-35,6,4.1827539717522795,3.2992402483203107,-0.4854742549992325,4.154484990458194
carmelo-squared,1986,2,32-35,6,4.117258716011533,3.1857033073485908,-0.49418871035222756,4.08749273432178
538-linear,1986,2,32-35,6,8.148766722083002,6.012677566167363,-1.7021784221455043,7.969001675875692
538-squared,1986,2,32-35,6,8.44934169614157,6.092906409570542,-1.9664634577973796,8.217322956249442
SPS,1986,2,<=23,39,8.239116693049588,6.3818595561463365,-3.5823252274602635,7.419568036374499
carmelo-linear,1986,2,<=23,39,8.352310373248987,6.3980731606686785,-3.8161323200834056,7.429550638275336
carmelo-squared,1986,2,<=23,39,8.34705907887406,6.396436140959858,-3.8183632516329973,7.422499400120727
538-linear,1986,2,<=23,39,8.575431345666072,6.621223588977018,-3.822078584943204,7.676570722318056
538-squared,1986,2,<=23,39,8.491899304152867,6.566134501165752,-3.726656039205394,7.630490715368567
SPS,1986,3,24-27,62,6.878657704724541,4.97925431311658,-0.4223872356220257,6.865677012644119
carmelo-linear,1986,3,24-27,62,8.024392002026458,6.38772938937525,-3.7950009868868766,7.070278248535471
carmelo-squared,1986,3,24-27,62,8.042612310635903,6.41774219340414,-3.8196738824554615,7.07769059869671
538-linear,1986,3,24-27,62,7.4046918505267385,5.308108103910741,-1.5886668817522729,7.232260983957963
538-squared,1986,3,24-27,62,7.430920101836446,5.262151066288419,-1.2618897881633695,7.322991719400342
SPS,1986,3,28-31,37,6.2887277972200675,4.991748755663498,4.036559871941832,4.822269352468535
carmelo-linear,1986,3,28-31,37,4.859980335861425,3.87513035020387,-0.7412737144912029,4.803115878798277
carmelo-squared,1986,3,28-31,37,4.92637031236706,3.9818513114211522,-0.7262779180281829,4.872539875707142
538-linear,1986,3,28-31,37,5.141118203370452,4.176065274851266,-0.7646351796062067,5.083938377196915
538-squared,1986,3,28-31,37,5.492176781321102,4.408163076625663,-0.9522177428563467,5.409000570112022
SPS,1986,3,<=23,42,8.621296702128843,6.679373451801883,-3.022659682035303,8.074050115817704
carmelo-linear,1986,3,<=23,42,8.775781124064466,6.890489606337422,-3.4509381641941754,8.068789260130314
carmelo-squared,1986,3,<=23,42,8.774804249117585,6.892613702745909,-3.436083801070024,8.074064510663522
538-linear,1986,3,<=23,42,8.93556821754325,7.019434969814948,-3.3639057773015986,8.278195291958626
538-squared,1986,3,<=23,42,8.858662361991211,6.983741505732481,-3.2380343957272144,8.245667474246533
SPS,1986,4,24-27,69,8.412578508361618,6.860001145756016,1.335788639208589,8.305850099219768
carmelo-linear,1986,4,24-27,69,8.725822530818686,7.165927766284446,-2.7885038938036724,8.26826613466117
carmelo-squared,1986,4,24-27,69,8.7392449008839,7.161452024390161,-2.8140425768141197,8.27378787578595
538-linear,1986,4,24-27,69,8.95848428160485,7.00777267462538,0.032226202965543224,8.958426318031734
538-squared,1986,4,24-27,69,9.162624083921289,7.189598369228316,0.10122907435846225,9.162064875221029
SPS,1986,4,28-31,29,6.382263061017088,5.053055222268576,3.0977465178332144,5.580076011245314
carmelo-linear,1986,4,28-31,29,6.247408680264891,5.309903638520671,-1.9560292016244436,5.933301355960403
carmelo-squared,1986,4,28-31,29,6.283647080410245,5.3642303193567535,-1.9807263592765987,5.963299734275903
538-linear,1986,4,28-31,29,5.721869956935795,4.723834831781327,-0.28590315460121263,5.71472266958542
538-squared,1986,4,28-31,29,5.785097489273039,4.6810807951306,-0.23071921722291908,5.780494927183767
SPS,1986,4,<=23,41,9.763196834711202,8.033989649326804,-4.668527312239606,8.574664143171304
carmelo-linear,1986,4,<=23,41,9.91877643987096,8.223798842352672,-5.257722384640591,8.410617182477665
carmelo-squared,1986,4,<=23,41,9.921911098674368,8.22769884628687,-5.261062635949708,8.41222561458093
538-linear,1986,4,<=23,41,10.00795710080976,8.35547417991192,-5.105779528937794,8.607567643273462
538-squared,1986,4,<=23,41,9.890556763470572,8.260143620925447,-4.96986545261333,8.551230933284048
SPS,1986,5,24-27,57,7.822294608947124,6.362612514469327,1.9690929184176582,7.570400651735723
carmelo-linear,1986,5,24-27,57,7.97289177727865,6.337653023996348,-2.669629706046205,7.512661347671221
carmelo-squared,1986,5,24-27,57,8.00870373970425,6.351197075364769,-2.7037998304907465,7.538488049137644
538-linear,1986,5,24-27,57,9.060519733513734,6.79888117518054,0.9752550799368803,9.007879626773946
538-squared,1986,5,24-27,57,9.119070637620917,6.7693072029723425,1.084223601076962,9.054386145774192
SPS,1986,5,28-31,25,6.845942390208167,5.654435486527766,3.7248957647648506,5.7438731489898
carmelo-linear,1986,5,28-31,25,7.166444452181639,6.092918160722551,-1.9730016769295224,6.889498564412238
carmelo-squared,1986,5,28-31,25,7.214227163922013,6.114860160052163,-2.01854904871704,6.92607632867223
538-linear,1986,5,28-31,25,5.5172793991119,4.738447894984134,0.37408047733909155,5.5045831599075985
538-squared,1986,5,28-31,25,5.5310597877386725,4.735723165722729,0.29451375067096935,5.523213197605673
SPS,1986,5,<=23,38,11.019296785739488,8.639673539182605,-5.370788187657813,9.62182601669371
carmelo-linear,1986,5,<=23,38,11.354053696851079,9.079394111218342,-6.407690930777291,9.373154873713125
carmelo-squared,1986,5,<=23,38,11.375681809189963,9.095830368737241,-6.442232522637204,9.375701400333252
538-linear,1986,5,<=23,38,11.504056240486936,9.23383167181422,-6.316761892063535,9.614667398473038
538-squared,1986,5,<=23,38,11.414522520905926,9.126444602004893,-6.199181356838994,9.584439205571103
SPS,1987,1,24-27,85,4.867270641574485,3.6651823246316795,-0.5673885888803968,4.834086644604253
carmelo-linear,1987,1,24-27,85,5.148481249246872,3.845812569757552,-1.4886893625430373,4.92855588947694
carmelo-squared,1987,1,24-27,85,5.153303709249789,3.855685143606055,-1.4919030469265213,4.9326224686609645
538-linear,1987,1,24-27,85,4.9679434823367705,3.797416513105407,-0.9215410481003891,4.881723521499188
538-squared,1987,1,24-27,85,4.959174164765615,3.8363870816630223,-0.8368235584428156,4.888060426029309
SPS,1987,1,28-31,57,4.8653342052635855,3.9658498490966387,2.843367647196693,3.948004223881098
carmelo-linear,1987,1,28-31,57,4.082206473759553,3.2349035330159275,0.618264401497327,4.035115713860701
carmelo-squared,1987,1,28-31,57,4.071906904202497,3.2238763747545436,0.6087263500447531,4.0261492852666505
538-linear,1987,1,28-31,57,4.4356204200685,3.5478062148100555,1.3185221189280931,4.235118408359563
538-squared,1987,1,28-31,57,4.443589231385946,3.5695546714458497,1.387790349934394,4.221317709189646
SPS,1987,1,32-35,9,5.471944059868941,4.434276340764541,4.227002014332449,3.4748562222291173
carmelo-linear,1987,1,32-35,9,4.243861428744244,3.251337749896507,1.6881652090906243,3.8936432878730876
carmelo-squared,1987,1,32-35,9,4.244240341296441,3.241508369681158,1.6811200347941935,3.8971029628817484
538-linear,1987,1,32-35,9,3.431897704391467,2.96781103635421,1.0653258789427729,3.2623615104801353
538-squared,1987,1,32-35,9,3.5081087003048377,3.1236042521025555,1.119825339795557,3.3245778471117595
SPS,1987,1,<=23,44,5.067439588604724,3.994822934355667,-0.9952093741177631,4.968752588510173
carmelo-linear,1987,1,<=23,44,5.0771627442367055,4.0013111947352265,-0.9182029406023742,4.993444191270626
carmelo-squared,1987,1,<=23,44,5.082351664427694,4.018654319117711,-0.908415499301726,5.000507946352985
538-linear,1987,1,<=23,44,5.1065512135872195,4.03338257858281,-0.9410705848301268,5.019088707261168
538-squared,1987,1,<=23,44,5.1276399562281805,4.069079685533693,-0.8778302030530302,5.05194078105787
SPS,1987,2,24-27,88,5.744987040942852,4.4115814564584035,-0.06302470009240689,5.74464132803603
carmelo-linear,1987,2,24-27,88,6.134071894303446,4.746301470657394,-1.5843404269927874,5.925934813671155
carmelo-squared,1987,2,24-27,88,6.131634411897102,4.736832540884826,-1.5890315531859633,5.922154952729635
538-linear,1987,2,24-27,88,6.27763435963164,4.662706083248796,-0.6251120380914913,6.246433229696836
538-squared,1987,2,24-27,88,6.260656465247879,4.624546283220573,-0.42103654738045326,6.246482818484336
SPS,1987,2,28-31,44,5.636972206786301,4.450794235425456,2.7928499424066864,4.896472695653494
carmelo-linear,1987,2,28-31,44,5.107178240177728,3.733067240048135,-0.5757371172182805,5.074622778966143
carmelo-squared,1987,2,28-31,44,5.109069775526679,3.7381366386759067,-0.5810804214944464,5.075917603247325
538-linear,1987,2,28-31,44,4.848187404131224,3.893872200261538,0.1301421571766811,4.846440356024415
538-squared,1987,2,28-31,44,4.867629839221393,3.9210806714007727,0.21398475368829822,4.862924097378802
SPS,1987,2,32-35,5,7.434564852066437,6.302215242790529,1.6351171205042854,7.252526907348598
carmelo-linear,1987,2,32-35,5,7.256659035559954,6.106975357318531,-1.9438910896758963,6.991451050379497
carmelo-squared,1987,2,32-35,5,7.246413013982791,6.121854156883314,-1.9980961857460158,6.965494469291206
538-linear,1987,2,32-35,5,6.386318935213066,5.474200588980087,-1.7179658438961212,6.1509074860110875
538-squared,1987,2,32-35,5,6.467693670987899,5.533141047186804,-1.9206462126575587,6.175935520027805
SPS,1987,2,<=23,41,6.917815001566026,5.490121187219979,-2.7473380352175116,6.348881642946192
carmelo-linear,1987,2,<=23,41,6.99920236298562,5.518748164133514,-3.0085369959695063,6.319615404588024
carmelo-squared,1987,2,<=23,41,7.0111962799578516,5.532929919776243,-3.0024583202255273,6.335780718380594
538-linear,1987,2,<=23,41,6.980574141665656,5.475395280314797,-2.977493179499901,6.313711247223994
538-squared,1987,2,<=23,41,6.983191940273054,5.454916345136545,-2.87368404204633,6.364503884921652
SPS,1987,3,24-27,86,7.014900357387494,5.49833058740051,-0.09442085554637149,7.014264874248268
carmelo-linear,1987,3,24-27,86,7.377027070322494,5.812179847013905,-2.541365562591685,6.925459513530053
carmelo-squared,1987,3,24-27,86,7.376045397247089,5.817705455911584,-2.5533390010464054,6.920007633520739
538-linear,1987,3,24-27,86,7.942408811463673,5.988225809258925,-1.7072692622076482,7.756744767925313
538-squared,1987,3,24-27,86,7.887721223822801,5.924328280717893,-1.4677042938369353,7.749967110291327
SPS,1987,3,28-31,37,6.816030360710135,5.6101595123987105,3.892054297518534,5.595550305670557
carmelo-linear,1987,3,28-31,37,6.44551885184862,5.09159217657248,-0.025088713132209745,6.445470023668507
carmelo-squared,1987,3,28-31,37,6.443084980872672,5.074748552988533,-0.04229356322596147,6.442946168117241
538-linear,1987,3,28-31,37,6.4303053299155986,5.372929497311393,0.5735721538342184,6.404673420267965
538-squared,1987,3,28-31,37,6.507721313376417,5.398083782333745,0.5406190634367068,6.485226882756109
SPS,1987,3,32-35,6,4.807910109910277,4.056900270359023,2.9418866523776246,3.802801934040192
carmelo-linear,1987,3,32-35,6,4.6063003184881035,4.361878343430991,-0.5905875233109418,4.56828293797714
carmelo-squared,1987,3,32-35,6,4.601695022391917,4.374328386251716,-0.715685279734584,4.545700348623717
538-linear,1987,3,32-35,6,3.405579408357899,3.12892356045109,1.1440071876604199,3.20768119694159
538-squared,1987,3,32-35,6,3.6405665118501127,3.3886839757446516,1.0639899072923618,3.481616004728908
SPS,1987,3,<=23,40,7.865331384271113,5.950320407260337,-2.7310935510300434,7.375945078423662
carmelo-linear,1987,3,<=23,40,7.959132359214616,6.166380311379626,-3.1899989325633706,7.291892396473071
carmelo-squared,1987,3,<=23,40,7.965329665010221,6.16521470271539,-3.1944855152757894,7.296693700915847
538-linear,1987,3,<=23,40,7.903700467189429,6.131282571787948,-3.1510471650824856,7.248405537666614
538-squared,1987,3,<=23,40,7.879514558429278,6.11947377442202,-3.0670832513044295,7.258081702906546
SPS,1987,4,24-27,75,8.192286245095177,6.554149564536287,0.2742046193268055,8.187695997551172
carmelo-linear,1987,4,24-27,75,8.789865683133046,6.561044208786688,-2.9709557215164266,8.272554673636723
carmelo-squared,1987,4,24-27,75,8.805027553320885,6.579799697141356,-2.9590163067673405,8.292932696641456
538-linear,1987,4,24-27,75,9.027023541171616,6.410773037042457,-1.1077551308442029,8.95879638025973
538-squared,1987,4,24-27,75,9.002351552494062,6.398448860369058,-0.7803148708439399,8.968469333003936
SPS,1987,4,28-31,34,6.918853480624952,5.658389960875202,3.503084497324676,5.966484097939048
carmelo-linear,1987,4,28-31,34,6.414231494340256,5.0511745479404375,-0.6047503181757485,6.385659144963248
carmelo-squared,1987,4,28-31,34,6.398244836943143,5.054158032762142,-0.6036601449993779,6.369704186444525
538-linear,1987,4,28-31,34,6.36910090434238,5.35436220179118,0.810264798124213,6.317350495786636
538-squared,1987,4,28-31,34,6.492705643793695,5.423782534235712,0.7868967961412482,6.4448444518989865
SPS,1987,4,<=23,36,7.787913873075069,6.595779962489911,-1.1681847754888695,7.699801739314534
carmelo-linear,1987,4,<=23,36,7.9589114932856955,6.685433057523052,-1.7635911940190516,7.761057805372512
carmelo-squared,1987,4,<=23,36,7.964392539291881,6.700440235866892,-1.7637615100224318,7.766639804683333
538-linear,1987,4,<=23,36,8.084573720003883,6.794100519714359,-1.9237452396398784,7.852358657571643
538-squared,1987,4,<=23,36,8.106146513998096,6.8107443377092025,-1.8734590719727464,7.886682598662539
SPS,1987,5,24-27,73,8.460600765786731,6.662412002348194,1.2610442508627628,8.366094232997677
carmelo-linear,1987,5,24-27,73,8.57159744295631,6.770090869531194,-2.1737607568207316,8.291383895116745
carmelo-squared,1987,5,24-27,73,8.59357016313395,6.783416192614474,-2.1749190296190686,8.313794281993447
538-linear,1987,5,24-27,73,8.507722327463219,6.643784611721977,-1.02566417961313,8.445670618244277
538-squared,1987,5,24-27,73,8.440802504278393,6.497272650123592,-0.7477715897914364,8.407614677524965
SPS,1987,5,28-31,20,7.415478330248803,6.139316667857605,4.124082851235966,6.162893760444925
carmelo-linear,1987,5,28-31,20,6.250079223040896,4.735042709860807,0.1506799136734184,6.248262627155078
carmelo-squared,1987,5,28-31,20,6.231251407805499,4.719044999278802,0.0601400398688031,6.230961184510989
538-linear,1987,5,28-31,20,7.79380314137521,6.2315383939429765,3.0097461674510386,7.189213824475099
538-squared,1987,5,28-31,20,7.935103263341816,6.490154953260474,2.837728649253986,7.410341416770288
SPS,1987,5,<=23,37,7.03269788436458,5.871443488100294,-1.490701784783588,6.872892238467665
carmelo-linear,1987,5,<=23,37,6.975269571462098,5.826240477250967,-2.59729810818375,6.473671920308455
carmelo-squared,1987,5,<=23,37,6.981502804332163,5.827896218834345,-2.607411368760294,6.4763251432396
538-linear,1987,5,<=23,37,7.240091840435337,6.013020672996129,-2.7510585286263027,6.69705956595959
538-squared,1987,5,<=23,37,7.302305287049078,5.997070212995906,-2.688048065574916,6.789555221251528
SPS,1988,1,24-27,86,4.578546323643956,3.454855317711382,-0.8182768166388638,4.504831793652783
carmelo-linear,1988,1,24-27,86,4.770227575575688,3.4964467263956855,-1.4264055040211086,4.551970832604377
carmelo-squared,1988,1,24-27,86,4.759693831040563,3.490124088706795,-1.4298553857182172,4.539845695745418
538-linear,1988,1,24-27,86,4.97053903186579,3.5885273617494438,-1.0169484466989924,4.865395577345979
538-squared,1988,1,24-27,86,4.9745920953353915,3.595829448108693,-0.8911662946356104,4.894117811238181
SPS,1988,1,28-31,52,5.880739453225506,4.21710933161421,0.01873463021587577,5.880709611122938
carmelo-linear,1988,1,28-31,52,6.241800104079618,4.333704174314713,-2.080367069113076,5.884907934457276
carmelo-squared,1988,1,28-31,52,6.234843696957604,4.323005184771508,-2.089453295115085,5.874305137888624
538-linear,1988,1,28-31,52,5.8501911928320425,4.221515238296852,-1.1575704238771594,5.734524191810027
538-squared,1988,1,28-31,52,5.825277147468194,4.212173296748072,-1.1014524308050258,5.720197233268174
SPS,1988,1,32-35,12,5.495505177681648,4.63358252487804,1.4577999048755341,5.298622141205266
carmelo-linear,1988,1,32-35,12,6.169524352012959,5.132341026150791,-3.1945699245529737,5.278044498412508
carmelo-squared,1988,1,32-35,12,6.200473615570092,5.184911932821582,-3.2419301317329463,5.285429223662241
538-linear,1988,1,32-35,12,5.3915259506771,4.2999462893342715,-2.0534630443329696,4.985162144041393
538-squared,1988,1,32-35,12,5.551172384752451,4.47964743978683,-2.255607916262661,5.072252731610623
SPS,1988,1,<=23,34,6.4150867198132175,4.753618677974822,-2.4284072251867665,5.937691131356078
carmelo-linear,1988,1,<=23,34,6.437419686857732,4.763613539177893,-2.2574343385579847,6.028628569736468
carmelo-squared,1988,1,<=23,34,6.444030773534702,4.777373369788372,-2.2565416431489917,6.036021241098865
538-linear,1988,1,<=23,34,6.359598672259671,4.641875767399362,-2.2362959792849577,5.953442329042996
538-squared,1988,1,<=23,34,6.366238049271939,4.655071398726176,-2.1768940501870273,5.982484366403151
SPS,1988,2,24-27,81,5.941077631964355,4.522799247212077,-1.370917508031452,5.7807429120485905
carmelo-linear,1988,2,24-27,81,6.6887897430021255,4.957326200341083,-2.742696980925084,6.100616484988617
carmelo-squared,1988,2,24-27,81,6.673016465446743,4.939204834971037,-2.7405783997042596,6.084273069414109
538-linear,1988,2,24-27,81,6.725371737253596,5.290024186774761,-2.6625867870113265,6.175860798777945
538-squared,1988,2,24-27,81,6.7849446787991035,5.303620718999932,-2.40861339923536,6.343032065770136
SPS,1988,2,28-31,45,6.0908399786649134,4.778424497355171,1.572499677795919,5.88435012631255
carmelo-linear,1988,2,28-31,45,6.5282070568039545,5.233012487607262,-1.923114539350149,6.238518882318544
carmelo-squared,1988,2,28-31,45,6.554019992720432,5.260588166380106,-1.9235163179076544,6.265402065288557
538-linear,1988,2,28-31,45,6.320921556763265,4.982963537718963,0.1220680990554169,6.3197427721346005
538-squared,1988,2,28-31,45,6.32355413621636,4.950875498485288,0.1648924397131224,6.321403910286423
SPS,1988,2,32-35,13,3.0948436296699056,2.7001298638615165,1.695627243974724,2.588996975973336
carmelo-linear,1988,2,32-35,13,4.595956857993971,3.862083354280812,-2.753966424768924,3.6794684903919586
carmelo-squared,1988,2,32-35,13,4.666888752757089,3.92007715363371,-2.7993064560711223,3.7341309558730194
538-linear,1988,2,32-35,13,3.230122414080679,2.7899665974619348,-1.9430592211635207,2.5803510755317394
538-squared,1988,2,32-35,13,3.4110488794287472,2.893408824299073,-2.2082436532116896,2.5997912273685366
SPS,1988,2,<=23,29,7.3289587741224596,6.119190364994241,-2.3889952380846555,6.928660654498488
carmelo-linear,1988,2,<=23,29,7.406896934487923,6.174554604312031,-2.424639134428211,6.99880327384088
carmelo-squared,1988,2,<=23,29,7.422644653095095,6.192120088561358,-2.4217419662637947,7.016467736329868
538-linear,1988,2,<=23,29,7.252051593746953,5.917761451175229,-2.471595709283687,6.8178784800125465
538-squared,1988,2,<=23,29,7.241481176565732,5.90383106099509,-2.411006934486808,6.828330337089174
SPS,1988,3,24-27,75,6.538014068392614,5.2187675268644425,-0.49931578450839026,6.518919519816187
carmelo-linear,1988,3,24-27,75,7.019719398656517,5.213754623389033,-2.7738687035086698,6.448419407232268
carmelo-squared,1988,3,24-27,75,7.005661683516957,5.205451960122649,-2.79154931362591,6.425460921482003
538-linear,1988,3,24-27,75,7.818548830429171,5.806974031883839,-2.066493000803044,7.540511421079964
538-squared,1988,3,24-27,75,7.807346461737649,5.784866963178217,-1.8601121392885955,7.582522113576631
SPS,1988,3,28-31,42,6.320470080893379,4.92739146488019,1.911674566524906,6.024437101934933
carmelo-linear,1988,3,28-31,42,8.298335805201688,5.886381445026917,-3.1141915705748344,7.6918260509226934
carmelo-squared,1988,3,28-31,42,8.310110357813926,5.872747325279657,-3.1173039176427286,7.7032688155156315
538-linear,1988,3,28-31,42,6.563826469874411,5.040798172278821,-0.13332955975344413,6.5624721831882775
538-squared,1988,3,28-31,42,6.5963194724357885,5.080446429704881,-0.1959311040397187,6.5934089502248625
SPS,1988,3,32-35,8,7.119908872920819,6.527941398983347,2.9987345293089116,6.457607419271247
carmelo-linear,1988,3,32-35,8,5.903819385362414,5.320619694629097,-0.06280896155901838,5.903485273067843
carmelo-squared,1988,3,32-35,8,5.838210062324508,5.239395064522795,-0.06479185910503027,5.837850524535623
538-linear,1988,3,32-35,8,6.2938141101864655,5.275886645240339,0.6603167890563496,6.2590796281620005
538-squared,1988,3,32-35,8,6.010590626629261,5.035991107706153,0.34324718382984976,6.000781703388019
SPS,1988,3,<=23,27,9.710320632920363,7.840115471902535,-1.7730277306497966,9.547078058781429
carmelo-linear,1988,3,<=23,27,10.00277693637953,8.098811584959227,-2.169529781389772,9.764665225527654
carmelo-squared,1988,3,<=23,27,10.014048216420042,8.115278981941355,-2.15604725274928,9.779193316664605
538-linear,1988,3,<=23,27,9.467916618942093,7.660764595572173,-1.8611686875256106,9.283183517512409
538-squared,1988,3,<=23,27,9.461024378680706,7.673338357746765,-1.7761442590928336,9.29280871776032
SPS,1988,4,24-27,75,7.009842952615864,5.631078281719766,0.5326572019178775,6.989576133470707
carmelo-linear,1988,4,24-27,75,7.577163443126841,5.831428348745156,-2.4804777644098994,7.159653336868054
